question_number,visualization_type,question_text,user_answer,correct_answer,is_correct,response_time_seconds
1,heatmap,Which school had the highest number of absences in March?,School 7,7,True,40.26
2,scatter,Which school had the highest number of absences in March?,School 5,5,True,21.22
3,heatmap,During which month did School 7 have the lowest number of absences?,May,May,True,22.0
4,scatter,During which month did School 7 have the lowest number of absences?,August,September,False,14.95
5,heatmap,In which school were absences the highest in December?,School 7,7,True,11.66
6,scatter,In which school were absences the highest in December?,School 5,5,True,29.53
7,heatmap,Which school showed a noticeable increase in absences between April and May?,School 10,2,False,24.79
8,scatter,Which school showed a noticeable increase in absences between April and May?,School 8,6,False,20.83
9,heatmap,Which month had the highest total absences across all schools?,November,July,False,35.45
10,scatter,Which month had the highest total absences across all schools?,September,September,True,25.55
11,heatmap,"For School 3, in which month were absences at their peak?",February,February,True,19.55
12,scatter,"For School 3, in which month were absences at their peak?",August,August,True,12.91
13,heatmap,Did School 5 have more absences in January or in October?,October,October,True,16.69
14,scatter,Did School 5 have more absences in January or in October?,October,October,True,23.59
15,heatmap,Which school had the fewest absences in July?,School 3,3,True,27.0
16,scatter,Which school had the fewest absences in July?,School 2,1,False,21.69
17,heatmap,During which month did School 10 see the greatest decline in absences compared to the previous month?,October,October,True,26.34
18,scatter,During which month did School 10 see the greatest decline in absences compared to the previous month?,February,February,True,39.49
19,heatmap,Which school had consistently high absences from September to November?,School 8,8,True,35.03
20,scatter,Which school had consistently high absences from September to November?,School 6,6,True,59.1
