question_number,visualization_type,question_text,user_answer,correct_answer,is_correct,response_time_seconds
1,heatmap,Which school had the highest number of absences in March?,School 1,1,True,31.2
2,scatter,Which school had the highest number of absences in March?,School 5,5,True,37.28
3,heatmap,During which month did School 7 have the lowest number of absences?,May,October,False,29.17
4,scatter,During which month did School 7 have the lowest number of absences?,June,September,False,24.68
5,heatmap,In which school were absences the highest in December?,School 3,6,False,15.96
6,scatter,In which school were absences the highest in December?,School 7,7,True,21.02
7,heatmap,Which school showed a noticeable increase in absences between April and May?,School 6,6,True,26.2
8,scatter,Which school showed a noticeable increase in absences between April and May?,School 3,5,False,15.27
9,heatmap,Which month had the highest total absences across all schools?,May,June,False,24.09
10,scatter,Which month had the highest total absences across all schools?,March,October,False,36.18
11,heatmap,"For School 3, in which month were absences at their peak?",May,September,False,17.84
12,scatter,"For School 3, in which month were absences at their peak?",July,July,True,11.65
13,heatmap,Did School 5 have more absences in January or in October?,January,January,True,13.69
14,scatter,Did School 5 have more absences in January or in October?,January,October,False,40.12
15,heatmap,Which school had the fewest absences in July?,School 10,3,False,11.45
16,scatter,Which school had the fewest absences in July?,School 10,2,False,15.5
17,heatmap,During which month did School 10 see the greatest decline in absences compared to the previous month?,March,March,True,34.38
18,scatter,During which month did School 10 see the greatest decline in absences compared to the previous month?,February,April,False,18.93
19,heatmap,Which school had consistently high absences from September to November?,School 2,9,False,26.52
20,scatter,Which school had consistently high absences from September to November?,School 4,4,True,12.88
